altmetric_id,mendeley_readers,citeulikereaders,blog_users,blogs_posts_count,news_unique_users,total_posts_count,wiki_posts_count,facebook_users,facebook_posts,twitter_users,twitter_posts,other_articles,mean,rank,perc,scored_higher_than,sample_size,users_lecturer,users_student_pg,users_student_phd,users_student_doct,users_researcher,users_other,users_prof_assoc,users_prof,users_medi,users_ss,users_psych,users_earth,users_agri,users_arts,users_id,users_au,altmetric_score,altmetric_score_1y,altmetric_score_6m,altmetric_score_3m,altmetric_score_1m
100001,74,0,1,1,1,2,0,0,0,0,0,5017152,5.941635968,389460,92,4627814,5017152,4,19,4,11,3,8,8,1,23,1,13,16,20,3,1,1,12.208,7,7,0,0
100016,255,4,10,10,0,430,1,203,215,187,189,5187054,6.124128646,9448,99,5177616,5187054,2,85,13,54,8,23,21,20,12,10,6,114,1,16,5,3,281.376,14.5,10.75,9.75,8.5
100029,338,5,7,7,5,35,1,0,0,15,15,5094648,6.036925692,36029,99,5058613,5094648,9,99,23,65,9,16,20,15,18,128,0,23,5,9,2,6,109.222,2.35,2.35,0,0
100059,464,15,11,12,1,23,2,0,0,8,8,5187054,6.124128646,39832,99,5147233,5187054,6,134,16,119,19,44,26,16,30,8,2,357,9,39,2,7,104.758,4.85,3,3,0
100063,1820,45,123,173,25,315,7,11,11,53,61,5181074,6.119711512,656,99,5180421,5181074,5,52,13,52,6,9,3,5,4,1,11,125,1,12,1,3,1034.21,39.838,28.038,17.878,0.25
100126,504,7,8,10,7,79,2,2,2,37,42,5163187,6.099348395,22782,99,5140404,5163187,12,114,25,93,13,46,36,60,30,253,2,102,4,21,2,15,155.606,52.3,31.1,0.5,0.25
100146,542,17,30,34,6,163,1,8,8,88,101,5168589,6.102312171,7393,99,5161217,5168589,9,132,29,113,29,62,36,35,87,104,13,144,11,63,2,17,322.874,39.1,6.1,4.1,1.1
100263,1310,65,57,63,10,271,5,4,4,162,174,5190687,6.12617051,2155,99,5188548,5190687,28,386,48,299,63,114,67,44,158,117,23,263,91,110,15,41,615.876,128.522,38.926,24.25,0
100285,11442,31,38,49,4,2732,0,166,172,2154,2421,5183409,6.120454183,103,99,5183370,5183409,226,919,763,1246,875,581,379,9371,97,108,4,466,7,155,15,70,2135.056,307.714,167.064,68.9,18.25
100558,296,8,7,11,3,36,5,3,3,5,12,5181074,6.119711512,57815,98,5123275,5181074,6,75,11,83,9,13,22,6,33,1,9,188,39,9,3,6,78.724,4,4,4,4
100579,268,10,24,28,1,158,3,0,0,98,114,5187343,6.124044064,10992,99,5176356,5187343,10,68,9,57,16,25,19,7,24,29,8,138,10,25,0,4,254.718,30.85,12.95,8.95,7.1
100619,295,2,7,9,11,152,2,3,3,108,119,5187054,6.124128646,11508,99,5175559,5187054,6,65,13,53,17,13,9,57,57,12,5,16,7,10,3,10,247.196,107.25,48.9,44.55,17.7
100630,333,5,9,9,7,34,1,2,3,9,11,5187054,6.124128646,30132,99,5156930,5187054,8,78,9,80,13,21,21,5,70,8,41,90,70,12,1,9,128.11,13.08,12.08,0,0
